"","Substance","func","size_class","layer","time","cell_type_general","species","assay","type","media","dose","model_2_values","bmd_id"
"33","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",30,80.6418865019079,3011
"34","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",40,73.7664289711137,3011
"35","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",50,67.3201504393813,3011
"36","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",60,61.3030509067108,3011
"37","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",70,55.7151303731022,3011
"38","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",80,50.5563888385555,3011
"39","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",90,45.8268263030707,3011
"40","EoYncPX1","JnqQM0lo","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","42hTuSbQ","MDEDiJHv",100,41.5264427666479,3011
"41","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",10,96.8400092514786,3012
"42","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",20,86.7120030705229,3012
"43","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",30,77.3473020726995,3012
"44","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",40,68.7459062580083,3012
"45","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",50,60.9078156264494,3012
"46","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",60,53.8330301780228,3012
"47","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",70,47.5215499127285,3012
"48","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",80,41.9733748305664,3012
"49","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",90,37.1885049315366,3012
"50","EoYncPX1","FPSgiOjw","QhvvMEVq",1.5,24,"wINVDlE4","w15ouKhY","tTq9T1IN","mTf4hRF5","MDEDiJHv",100,33.1669402156391,3012
"51","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",10,91.8264307311269,4070
"52","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",20,88.673580013017,4070
"53","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",30,85.8214911554747,4070
"54","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",40,83.2701641584998,4070
"55","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",50,81.0195990220924,4070
"56","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",60,79.0697957462524,4070
