Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,log(BCF) (L/Kg)
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,1.21,24.0,24,True,0.44
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,6.71,24.0,24,True,1.05
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,1.21,24.0,24,True,1.06
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,6.71,24.0,24,True,1.3
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,1.21,24.0,24,True,1.12
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,6.71,24.0,24,True,1.24
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,1.22,24.0,24,True,1.78
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,7.02,24.0,24,True,1.61
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,1.22,24.0,24,True,1.73
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,7.02,24.0,24,True,1.7
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,1.22,24.0,24,True,0.75
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,7.02,24.0,24,True,0.67
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,1.22,24.0,24,True,1.02
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,7.02,24.0,24,True,1.06
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,1.22,24.0,24,True,1.01
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,7.02,24.0,24,True,0.98
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,0.86,24.0,24,True,2.79
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,6.64,24.0,24,True,2.45
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,0.86,24.0,24,True,2.39
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,6.64,24.0,24,True,2.43
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,0.86,24.0,24,True,1.52
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,6.64,24.0,24,True,1.52
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,0.86,24.0,24,True,2.24
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,6.64,24.0,24,True,2.02
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,0.86,24.0,24,True,2.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,6.64,24.0,24,True,1.85
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,0.69,24.0,24,True,4.07
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,3.63,24.0,24,True,3.97
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,0.69,24.0,24,True,3.18
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,3.63,24.0,24,True,3.45
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,0.69,24.0,24,True,2.64
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,3.63,24.0,24,True,2.85
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,0.69,24.0,24,True,3.33
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,3.63,24.0,24,True,3.37
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,0.69,24.0,24,True,3.08
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,3.63,24.0,24,True,3.17
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,1.57,24.0,24,True,4.79
